N,epsilon,alpha,pruned_graph_size_mean,pruned_graph_size_std,pruned_graph_size_min,pruned_graph_size_max,#pruned_edges_mean,#pruned_edges_std,#pruned_edges_min,#pruned_edges_max,subgraph_size_mean,subgraph_size_std,subgraph_size_min,subgraph_size_max,#marked_nodes_mean,#marked_nodes_std,#marked_nodes_min,#marked_nodes_max,#unmoved_subtrees_mean,#unmoved_subtrees_std,#unmoved_subtrees_min,#unmoved_subtrees_max,% unmoved_subtrees_mean,% unmoved_subtrees_std,% unmoved_subtrees_min,% unmoved_subtrees_max
250,0.1,0.1,1.4004976810387397,11.732661808623552,1,575,982.988,380.6332248451257,4,2204,1.0643112346169115,4.618346716451518,1,442,413.116,141.61618037498397,1,977,1.716,1.6790902298566328,0,9,1716000.0,1679090.2298566329,0.0,9000000.0,
250,0.1,0.5,1.0097515614842123,0.6065517066845547,1,137,1143.7,311.28810128239724,79,2179,1.0027485413803603,0.15657381528364472,1,32,486.076,94.64737832607938,34,986,1.948,1.5314359274876634,0,8,1948000.0,1531435.9274876635,0.0,8000000.0,
250,0.1,1,1.0056042510294394,0.2033919571597262,1,37,1145.816,311.0397758229645,79,2206,1.0016488116595759,0.0875237753848755,1,12,468.216,90.2015595430589,34,962,2.052,1.6276658133658763,0,8,2052000.0,1627665.8133658764,0.0,8000000.0,
250,0.1,5,1.0000529717131053,0.00727797410704466,1,2,1148.436,311.55818381804704,79,2217,1.0,0.0,1,1,75.512,16.848793903422287,5,151,0.336,0.5788816804840173,0,3,336000.0,578881.6804840174,0.0,3000000.0,
250,0.1,0.1,1.3945878579433473,11.793187345577229,1,600,985.068,388.1956612019253,4,1944,1.0667001584418596,4.678261385907486,1,448,414.032,140.20704324676416,1,735,1.932,1.8241096458272459,0,9,1932000.0,1824109.6458272457,0.0,9000000.0,
250,0.1,0.5,1.0102823500145113,0.9482887885039409,1,311,1143.48,310.95134281748966,79,2215,1.003300302665948,0.27931859419675,1,62,482.38,93.16262984695096,26,977,1.976,1.5644244948222972,0,9,1976000.0,1564424.4948222972,0.0,9000000.0,
250,0.1,1,1.004645126033199,0.15998414503846606,1,20,1146.264,311.43219214461436,79,2216,1.0011271261698202,0.07368465515168403,1,10,468.448,90.25226476936741,34,953,2.008,1.5465885037720926,0,7,2008000.0,1546588.5037720925,0.0,7000000.0,
250,0.1,5,1.0,0.0,1,1,1148.44,311.56184362017115,79,2217,1.0,0.0,1,1,74.692,16.237152952411332,3,157,0.3,0.5385164807134504,0,3,300000.0,538516.4807134503,0.0,3000000.0,
250,0.1,0.1,1.3821846302561624,11.38648455875653,1,553,990.292,373.39775941480957,4,2179,1.0832672788786855,5.256504852465157,1,424,413.8,135.84020023542368,2,938,1.828,1.7153471951765333,0,8,0.39977005496817286,0.3550709173315784,0.0,1.702127659574468,
250,0.1,0.5,1.0142021307322227,0.8808882657850035,1,138,1141.556,313.1378591994267,4,2179,1.0016504509857318,0.08954589774077029,1,12,484.716,94.07335087047765,1,969,1.944,1.532600404541249,0,8,0.3900747572953341,0.3012097853966407,0.0,1.4462809917355373,
