N,epsilon,alpha,pruned_graph_size_mean,pruned_graph_size_std,pruned_graph_size_min,pruned_graph_size_max,#pruned_edges_mean,#pruned_edges_std,#pruned_edges_min,#pruned_edges_max,subgraph_size_mean,subgraph_size_std,subgraph_size_min,subgraph_size_max,#marked_nodes_mean,#marked_nodes_std,#marked_nodes_min,#marked_nodes_max,#unmoved_subtrees_mean,#unmoved_subtrees_std,#unmoved_subtrees_min,#unmoved_subtrees_max,% unmoved_subtrees_mean,% unmoved_subtrees_std,% unmoved_subtrees_min,% unmoved_subtrees_max
250,10,0.1,1.0048069932342854,0.18920465405768933,1,37,1146.192,311.1637947062608,79,2181,1.0016593535363902,0.08362955326116632,1,7,467.652,90.37076350236286,33,945,1.992,1.469672072266463,0,7,0.41301208433251074,0.2996163208370606,0.0,1.5151515151515151,
250,10,0.5,1.0,0.0,1,1,1148.44,311.56184362017115,79,2217,1.0,0.0,1,1,74.36,16.571252215810365,6,179,0.332,0.5493414238886414,0,3,0.4767460288542952,1.223620311024301,0.0,16.666666666666664,
250,10,0.9,1.0,0.0,1,1,1148.44,311.56184362017115,79,2217,1.0,0.0,1,1,0.3,0.5744562646538028,0,3,0.0,0.0,0,0,0.0,0.0,0.0,0.0,
250,50,0.1,1.001457882211693,0.07787963349563713,1,7,1147.896,311.5008269395123,79,2214,1.000653903050833,0.053294453549807996,1,6,373.144,71.91386002711856,23,780,1.6,1.5073154945133418,0,9,0.41854954954253537,0.36703605691093116,0.0,1.7857142857142856,
250,50,0.5,1.0,0.0,1,1,1148.44,311.56184362017115,79,2217,1.0,0.0,1,1,0.004,0.063118935352238,0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,
250,50,0.9,
250,100,0.1,1.0001354218390286,0.018602679753157516,1,5,1148.404,311.5710782213266,79,2217,1.0,0.0,1,1,265.836,53.42786823372238,14,555,1.16,1.134195750300626,0,5,0.41870474545577974,0.4008758358803877,0.0,1.9305019305019304,
250,100,0.5,x,x,x,x,1148.44,311.56184362017115,79,2217,
250,100,0.9,x,x,x,x,1148.44,311.56184362017115,79,2217,
250,0.1,0.9,1.0053622954028956,0.1863666776191044,1,21,1145.92,311.1329259335951,79,2208,1.001557619140841,0.09853571234763776,1,20,469.948,91.43444261327348,34,964,1.964,1.5958395909363823,0,10,0.40713129239647267,0.3136182693058681,0.0,1.694915254237288,
250,15,0.1,1.0043194268857987,0.16523497068220164,1,20,1146.472,311.23016758662715,79,2216,1.001185208596713,0.10164574944055506,1,20,455.616,87.51185373422277,28,908,1.988,1.623531952257177,0,9,0.42410230740411464,0.3392221802293381,0.0,1.8556701030927836,
250,15,0.5,1.0001756234632948,0.01325113654347568,1,2,1148.436,311.5574520116635,79,2217,1.0,0.0,1,1,22.776,6.439085649376004,0,48,0.104,0.34232148632535475,0,2,0.4364055719994393,1.4334429386641108,0.0,8.0,
250,15,0.9,x,x,x,x,1148.44,311.56184362017115,79,2217,
250,20,0.1,1.0031752028351952,0.11451414823143215,1,7,1147.028,311.69281547061684,79,2215,1.0012772770611833,0.06981123961885763,1,6,444.696,87.73083599282523,30,925,1.884,1.6463729832574392,0,8,0.41338378873316606,0.35226559619757264,0.0,1.9093078758949882,
250,20,0.5,1.0,0.0,1,1,1148.44,311.56184362017115,79,2217,1.0,0.0,1,1,6.68,2.92054789380349,0,18,0.024,0.15304901175767194,0,1,0.3888888888888889,2.6337083652307482,0.0,25.0,
250,20,0.9,x,x,x,x,1148.44,311.56184362017115,79,2217,
250,25,0.1,1.0020271020770855,0.09017797783890838,1,6,1147.564,311.5486316837229,79,2217,1.0005090895627384,0.0409280869076441,1,6,432.144,84.0004956175855,29,866,1.78,1.476346842716846,0,7,0.39606905099613815,0.32419720902210913,0.0,1.6355140186915886,
250,25,0.5,1.0,0.0,1,1,1148.44,311.56184362017115,79,2217,1.0,0.0,1,1,1.84,1.3139254164525476,0,7,0.008,0.08908422980528033,0,1,0.3333333333333333,3.785938897200183,0.0,50.0,
250,25,0.9,x,x,x,x,1148.44,311.56184362017115,79,2217,
250,30,0.1,1.0023831539612784,0.10039834730376547,1,12,1147.44,311.50943228095036,79,2216,1.0005147612556362,0.04277846728333771,1,6,419.612,82.53967201291752,34,875,1.82,1.468196172178636,0,7,0.4235108523264191,0.33964898705686714,0.0,1.627906976744186,
250,30,0.5,1.0,0.0,1,1,1148.44,311.56184362017115,79,2217,1.0,0.0,1,1,0.504,0.7169267745035054,0,4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,
250,30,0.9,x,x,x,x,1148.44,311.56184362017115,79,2217,
250,35,0.1,1.0023242585909304,0.10236346504917955,1,12,1147.492,311.43797124949293,79,2217,1.0004707359171505,0.04450609013424906,1,6,407.872,79.53464412443171,26,807,1.72,1.4620533505997653,0,8,0.4056872682914096,0.3279823531082168,0.0,1.4388489208633095,
250,35,0.5,1.0,0.0,1,1,1148.44,311.56184362017115,79,2217,1.0,0.0,1,1,0.136,0.3653819918934155,0,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,
250,35,0.9,x,x,x,x,1148.44,311.56184362017115,79,2217,
250,40,0.1,1.0016057726510494,0.08050770650477013,1,6,1147.808,311.5858326946204,79,2215,1.00052848213832,0.04393988091821067,1,6,393.58,75.69092151638795,29,803,1.616,1.542901163393171,0,10,0.39280294476489275,0.3566650784802258,0.0,1.70316301703163,
250,40,0.5,1.0,0.0,1,1,1148.44,311.56184362017115,79,2217,1.0,0.0,1,1,0.028,0.16497272501841023,0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,
250,40,0.9,x,x,x,x,1148.44,311.56184362017115,79,2217,
250,45,0.1,1.001232491826908,0.06930447402325268,1,7,1147.968,311.504206995668,79,2216,1.0007206943733615,0.05698971576295297,1,6,382.964,74.597873320893,24,780,1.568,1.4957860809621142,0,12,0.3913050521404573,0.345879151909643,0.0,1.6990291262135921,
250,45,0.5,1.0,0.0,1,1,1148.44,311.56184362017115,79,2217,1.0,0.0,1,1,0.004,0.063118935352238,0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,
250,45,0.9,x,x,x,x,1148.44,311.56184362017115,79,2217,
10,15,0.1,1.002120890774125,0.09208183815945879,1,5,832.5,376.39374330612884,80,1061,1.0010604453870626,0.06512032711704789,1,5,377.2,172.450456653498,28,485,46.1,24.31234254447728,0,73,9.956540159018807,5.240212482833127,0.0,15.368421052631579,
10,15,0.5,1.0,0.0,1,1,833.3,376.82304865812023,80,1061,1.0,0.0,1,1,18.2,9.21737489744233,1,27,2.8,1.98997487421324,0,7,12.354892852718939,8.284127278126876,0.0,29.166666666666668,
10,1.0,0.1,1.028067560854446,1.1994190891517535,1,76,822.0,390.24761370186496,6,1061,1.0024838549428714,0.1136216360010439,1,7,402.6,190.55298475752093,4,519,49.7,26.000192306981113,0,78,10.196384432468552,4.781872399236005,0.0,15.50695825049702,
10,1.0,0.1,1.2236770321876704,8.387384742177574,1,379,751.3,382.08272664437476,6,1061,2.004091653027823,0.1289288460947139,2,7,366.6,185.98182706920588,3,510,48.4,31.639216172339037,0,95,10.36374487030514,6.15059979111622,0.0,19.230769230769234,
10,1.0,0.1,1.041309823677582,2.056091593787726,1,130,816.9,370.96642705236815,80,1061,2.00352644836272,0.11439318571385146,2,6,397.0,181.12095406109145,33,507,49.2,26.483202223296185,0,76,10.065283970060674,5.322234372479973,0.0,14.990138067061142,
10,1.0,0.1,1.1583899634082593,6.577337886670005,1,379,772.7,396.5516485906975,6,1061,2.167276529012023,6.803548761529165,2,380,382.6,199.20803196658514,1,531,48.9,32.952845097199116,0,102,9.905790544747981,6.123617146219785,0.0,19.54022988505747,
10,1.0,1,0.1,0.0,0.0383.8,172.50553614304673,40,490,2.0070349140177175,0.17445669203235725,2,8,45.3,24.62945391193235,0,78,9.646010729259938,5.211802286594381,0.0,15.918367346938775,
